 k index  band 1  band 2  band 3  band 4  band 5  band 6  band 7 band 8
 1  0  0  0.204451  0.204451  0.221407  0.255662  0.257121 0.323254
 2  0.0259229  0.0668406  0.200352  0.204585  0.221977  0.256261  0.261071 0.32331
 3  0.0504096  0.129221  0.190716  0.204938  0.224383  0.257308  0.270815 0.323487
 4  0.0718615  0.178103  0.179309  0.205376  0.232374  0.258558  0.282354 0.323706
 5  0.087884  0.169242  0.200025  0.205732  0.25027  0.259566  0.292555 0.323884
 6  0.0942604  0.164849  0.204213  0.205868  0.259899  0.259952  0.297079 0.323957
 7  0.0956491  0.16641  0.203178  0.204365  0.262261  0.268462  0.297626 0.323585
 8  0.0994139  0.170446  0.196662  0.204761  0.267535  0.289123  0.299416 0.322624
 9  0.104405  0.175337  0.189115  0.205249  0.272866  0.302681  0.308534 0.321471
 10  0.108832  0.179222  0.183055  0.205645  0.276346  0.306741  0.317861 0.320562
 11  0.11065  0.180689  0.180689  0.205797  0.277489  0.308844  0.320171 0.320269
 12  0.106603  0.180756  0.18275  0.205377  0.275342  0.304283  0.315345 0.320639
 13  0.0928918  0.183203  0.188265  0.20202  0.269974  0.285549  0.292694 0.321523
 14  0.068607  0.174432  0.190193  0.195461  0.234863  0.263467  0.277797 0.322434
 15  0.036325  0.0941615  0.199475  0.201816  0.222786  0.257936  0.263695 0.32305
 16  0  0  0.204451  0.204451  0.221407  0.255662  0.257121 0.323255
