freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.588011, 0.645065, 0.645136, 0.719888, 0.812497, 0.812655
freqs:, 2, 0, 0.1, 0, 0.11547, 0.0731218, 0.079521, 0.565868, 0.641634, 0.66281, 0.705394, 0.758915, 0.777033
freqs:, 3, 0, 0.2, 0, 0.23094, 0.145556, 0.158329, 0.524852, 0.633217, 0.653307, 0.684538, 0.724319, 0.746578
freqs:, 4, 0, 0.3, 0, 0.34641, 0.216368, 0.23502, 0.4765, 0.583399, 0.623907, 0.685915, 0.708057, 0.723904
freqs:, 5, 0, 0.4, 0, 0.46188, 0.283458, 0.304734, 0.423036, 0.516094, 0.617049, 0.675947, 0.698922, 0.7099
freqs:, 6, 0, 0.5, 0, 0.57735, 0.328419, 0.342045, 0.382613, 0.479445, 0.61456, 0.671195, 0.695876, 0.70516
freqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.33053, 0.344803, 0.383935, 0.481281, 0.598891, 0.660165, 0.6873, 0.740458
freqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.336772, 0.352655, 0.387274, 0.486741, 0.571221, 0.620484, 0.716721, 0.779018
freqs:, 9, -0.2, 0.4, 0, 0.61101, 0.346885, 0.364198, 0.390429, 0.495686, 0.544471, 0.582146, 0.748118, 0.815972
freqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.360483, 0.376365, 0.388907, 0.507903, 0.524724, 0.547744, 0.778374, 0.849754
freqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.377092, 0.377108, 0.382657, 0.517559, 0.523113, 0.523126, 0.802304, 0.875668
freqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.322375, 0.347118, 0.417441, 0.531099, 0.539063, 0.561187, 0.768467, 0.800661
freqs:, 13, -0.2, 0.2, 0, 0.4, 0.248294, 0.270002, 0.464079, 0.580493, 0.589077, 0.607054, 0.734956, 0.785806
freqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.167698, 0.182469, 0.513297, 0.618594, 0.656884, 0.662594, 0.701582, 0.789012
freqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0843913, 0.0917755, 0.560313, 0.639663, 0.667667, 0.701753, 0.741682, 0.818794
freqs:, 16, 0, 0, 0, 0, 0, 0, 0.588011, 0.645065, 0.645136, 0.719888, 0.812497, 0.812655
