tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.578094, 0.611965, 0.652316, 0.652628, 0.767907, 0.76798, 1.0529
tefreqs:, 2, 0, 0.1, 0, 0.11547, 0.0668354, 0.55912, 0.594785, 0.649169, 0.669667, 0.775096, 0.791041, 1.038
tefreqs:, 3, 0, 0.2, 0, 0.23094, 0.13349, 0.51666, 0.564413, 0.641482, 0.705814, 0.793956, 0.840179, 1.00575
tefreqs:, 4, 0, 0.3, 0, 0.34641, 0.199667, 0.461141, 0.54175, 0.633543, 0.747309, 0.820106, 0.896004, 0.969041
tefreqs:, 5, 0, 0.4, 0, 0.46188, 0.264429, 0.400798, 0.528312, 0.627965, 0.787896, 0.849481, 0.920265, 0.933364
tefreqs:, 6, 0, 0.5, 0, 0.57735, 0.312662, 0.353804, 0.523827, 0.625987, 0.810332, 0.869335, 0.898223, 0.911434
tefreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.315275, 0.355388, 0.512259, 0.63695, 0.803755, 0.876101, 0.886268, 0.92229
tefreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.322981, 0.360041, 0.486037, 0.66126, 0.789196, 0.86971, 0.891186, 0.935474
tefreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.335408, 0.367387, 0.454421, 0.68934, 0.772156, 0.854207, 0.908908, 0.945506
tefreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.35202, 0.375923, 0.422036, 0.716412, 0.754725, 0.84191, 0.926821, 0.950348
tefreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.372176, 0.37227, 0.403201, 0.737669, 0.737917, 0.836562, 0.943124, 0.943395
tefreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.30526, 0.420855, 0.429588, 0.706831, 0.745912, 0.863006, 0.899444, 0.958646
tefreqs:, 13, -0.2, 0.2, 0, 0.4, 0.230325, 0.468959, 0.476665, 0.681126, 0.726356, 0.849693, 0.918135, 0.919987
tefreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.154048, 0.512343, 0.535107, 0.662314, 0.700558, 0.806806, 0.855698, 0.980734
tefreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0771563, 0.554554, 0.587973, 0.652446, 0.671346, 0.777875, 0.797338, 1.03244
tefreqs:, 16, 0, 0, 0, 0, 0, 0.578094, 0.611965, 0.652316, 0.652628, 0.767907, 0.76798, 1.0529
