tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.575002, 0.575014, 0.609452, 0.609819, 0.623516, 0.815347, 0.978079
tmfreqs:, 2, 0, 0.1, 0, 0.11547, 0.0629819, 0.540837, 0.56074, 0.607148, 0.628244, 0.652089, 0.827002, 0.950742
tmfreqs:, 3, 0, 0.2, 0, 0.23094, 0.12576, 0.488733, 0.541097, 0.595083, 0.660641, 0.696837, 0.857202, 0.908874
tmfreqs:, 4, 0, 0.3, 0, 0.34641, 0.188051, 0.432812, 0.525648, 0.582414, 0.69738, 0.742311, 0.865185, 0.897151
tmfreqs:, 5, 0, 0.4, 0, 0.46188, 0.249115, 0.375238, 0.515979, 0.573537, 0.736825, 0.786858, 0.821545, 0.887669
tmfreqs:, 6, 0, 0.5, 0, 0.57735, 0.296133, 0.329334, 0.512695, 0.570395, 0.774912, 0.782058, 0.817847, 0.857003
tmfreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.297979, 0.33145, 0.496911, 0.585951, 0.767922, 0.777283, 0.82485, 0.861447
tmfreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.303377, 0.337704, 0.467539, 0.614671, 0.753534, 0.76554, 0.839291, 0.872148
tmfreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.311851, 0.347833, 0.435554, 0.6457, 0.73749, 0.750598, 0.855467, 0.885236
tmfreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.322127, 0.361441, 0.403916, 0.676307, 0.722186, 0.734569, 0.871155, 0.898567
tmfreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.328981, 0.377994, 0.378071, 0.695817, 0.718315, 0.718526, 0.880937, 0.911011
tmfreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.28561, 0.389457, 0.418148, 0.672419, 0.687892, 0.774714, 0.83817, 0.928893
tmfreqs:, 13, -0.2, 0.2, 0, 0.4, 0.216661, 0.432699, 0.464018, 0.648061, 0.661417, 0.777741, 0.835972, 0.91597
tmfreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.145104, 0.48274, 0.511021, 0.629496, 0.639502, 0.71844, 0.868775, 0.892618
tmfreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0727127, 0.5355, 0.55288, 0.617651, 0.621219, 0.660769, 0.830669, 0.944341
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.575002, 0.575014, 0.609452, 0.609819, 0.623516, 0.815347, 0.978078
