tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.293582, 0.448668, 0.448864, 0.60814, 0.610095, 0.646672, 0.742153
tefreqs:, 2, 0, 0.1, 0, 0.11547, 0.102802, 0.294777, 0.448747, 0.448958, 0.608131, 0.610119, 0.646203, 0.74216
tefreqs:, 3, 0, 0.2, 0, 0.23094, 0.200025, 0.30139, 0.448668, 0.449708, 0.608099, 0.610155, 0.644481, 0.742162
tefreqs:, 4, 0, 0.3, 0, 0.34641, 0.263218, 0.339051, 0.448539, 0.452109, 0.608022, 0.610191, 0.639669, 0.742155
tefreqs:, 5, 0, 0.4, 0, 0.46188, 0.276463, 0.410019, 0.448432, 0.465842, 0.607445, 0.610104, 0.621176, 0.704184
tefreqs:, 6, 0, 0.5, 0, 0.57735, 0.27846, 0.431401, 0.448399, 0.505355, 0.582018, 0.608655, 0.610531, 0.681422
tefreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.278516, 0.432563, 0.448213, 0.508501, 0.583487, 0.60867, 0.610528, 0.679714
tefreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.278681, 0.435483, 0.447682, 0.518289, 0.587649, 0.60873, 0.610563, 0.673679
tefreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.278907, 0.438896, 0.446848, 0.535297, 0.593684, 0.608904, 0.610682, 0.660383
tefreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.27912, 0.441848, 0.445724, 0.559434, 0.599286, 0.609484, 0.61111, 0.636887
tefreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.279218, 0.444028, 0.44421, 0.589066, 0.589746, 0.609917, 0.611687, 0.617928
tefreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.278378, 0.435897, 0.446812, 0.502024, 0.607526, 0.610374, 0.629289, 0.667797
tefreqs:, 13, -0.2, 0.2, 0, 0.4, 0.272262, 0.374776, 0.448026, 0.455323, 0.607908, 0.610252, 0.638662, 0.748531
tefreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.225947, 0.30722, 0.448576, 0.450172, 0.608044, 0.610171, 0.643714, 0.742144
tefreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.118413, 0.295242, 0.448803, 0.448953, 0.608116, 0.610115, 0.64602, 0.742151
tefreqs:, 16, 0, 0, 0, 0, 0, 0.293582, 0.448668, 0.448864, 0.60814, 0.610095, 0.646672, 0.742153
