freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.173233, 0.173237, 0.179455, 0.224657, 0.231288, 0.231547
freqs:, 2, 0, 0.1, 0, 0.11547, 0.0227099, 0.0657556, 0.169413, 0.172525, 0.181785, 0.227381, 0.231571, 0.232881
freqs:, 3, 0, 0.2, 0, 0.23094, 0.0446949, 0.119933, 0.160117, 0.170769, 0.192632, 0.22754, 0.236533, 0.238238
freqs:, 4, 0, 0.3, 0, 0.34641, 0.0650389, 0.146399, 0.148391, 0.168764, 0.215423, 0.225394, 0.241296, 0.248229
freqs:, 5, 0, 0.4, 0, 0.46188, 0.0819173, 0.136708, 0.153794, 0.167251, 0.223552, 0.22869, 0.245483, 0.256914
freqs:, 6, 0, 0.5, 0, 0.57735, 0.0897377, 0.130642, 0.155333, 0.166695, 0.222845, 0.231651, 0.247214, 0.260597
freqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.0901411, 0.131285, 0.155374, 0.165234, 0.224063, 0.232432, 0.24679, 0.247325
freqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.0912746, 0.133162, 0.155489, 0.161281, 0.227284, 0.23449, 0.245584, 0.246628
freqs:, 9, -0.2, 0.4, 0, 0.61101, 0.0928909, 0.136128, 0.15565, 0.155779, 0.231556, 0.237183, 0.243763, 0.245502
freqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.0945084, 0.139965, 0.149769, 0.155809, 0.235831, 0.239879, 0.241551, 0.243977
freqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.0952997, 0.144365, 0.144421, 0.155887, 0.239016, 0.23923, 0.241958, 0.242292
freqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.0899139, 0.140352, 0.153921, 0.155228, 0.234603, 0.237009, 0.240185, 0.24525
freqs:, 13, -0.2, 0.2, 0, 0.4, 0.0735613, 0.146685, 0.151086, 0.162575, 0.225818, 0.231654, 0.236833, 0.246877
freqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.0512205, 0.131579, 0.157667, 0.168801, 0.199496, 0.230656, 0.23277, 0.247565
freqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0261778, 0.0754774, 0.168334, 0.172204, 0.182728, 0.228263, 0.230965, 0.247803
freqs:, 16, 0, 0, 0, 0, 0, 0, 0.173233, 0.173237, 0.179455, 0.224657, 0.231288, 0.247855
