 k index  band 1  band 2  band 3  band 4  band 5  band 6  band 7 band 8
 1  0  0  0.333603  0.334331  0.342363  0.423598  0.519593 0.521921
 2  0.0465504  0.106421  0.330376  0.333589  0.343071  0.433193  0.519531 0.52202
 3  0.0876799  0.21001  0.322618  0.332973  0.346526  0.457604  0.519373 0.522333
 4  0.119132  0.296126  0.315293  0.332231  0.36583  0.488272  0.519464 0.522839
 5  0.138513  0.31045  0.323914  0.331631  0.436688  0.5113  0.521874 0.524599
 6  0.145012  0.308782  0.327362  0.331401  0.487467  0.515012  0.522826 0.530813
 7  0.145401  0.309406  0.327447  0.330796  0.490486  0.515361  0.522666 0.530963
 8  0.146466  0.311175  0.327698  0.329059  0.498669  0.516284  0.522251 0.531424
 9  0.147908  0.313811  0.326414  0.328039  0.509211  0.517448  0.521737 0.532182
 10  0.149249  0.316943  0.323212  0.328358  0.518238  0.518433  0.521319 0.533045
 11  0.149858  0.31967  0.320423  0.328506  0.518918  0.521146  0.523972 0.53344
 12  0.145836  0.315341  0.325551  0.327193  0.490265  0.518443  0.519386 0.529987
 13  0.129877  0.31516  0.315499  0.329704  0.394679  0.501514  0.518565 0.524303
 14  0.0986  0.240169  0.320825  0.332122  0.349242  0.466861  0.518998 0.522843
 15  0.0533935  0.12271  0.329534  0.333275  0.343332  0.43619  0.519422 0.522154
 16  0  0  0.333603  0.334331  0.342363  0.423598  0.519592 0.521921
