 k index  te band 1  te band 2  te band 3  te band 4  te band 5  te band 6  te band 7 te band 8
 1  0  0.152317  0.163985  0.184156  0.184193  0.239594  0.23975 0.28567
 2  0.0194976  0.149106  0.16096  0.184113  0.187432  0.240107  0.242517 0.284848
 3  0.0388476  0.141237  0.153681  0.183925  0.195159  0.241203  0.249294 0.282715
 4  0.0578346  0.129515  0.146769  0.183695  0.204222  0.242664  0.255944 0.275818
 5  0.0758913  0.115013  0.142603  0.183511  0.212088  0.243957  0.2575 0.273475
 6  0.0877967  0.10415  0.141236  0.183443  0.215477  0.244488  0.256202 0.274157
 7  0.0885939  0.104476  0.139267  0.184978  0.214648  0.245333  0.256257 0.272762
 8  0.0909331  0.105419  0.134117  0.188818  0.21245  0.247565  0.256443 0.269759
 9  0.0946765  0.106844  0.127119  0.193643  0.209416  0.25059  0.256789 0.265979
 10  0.0996267  0.108117  0.119696  0.198447  0.205987  0.253854  0.257286 0.261939
 11  0.105521  0.105563  0.11596  0.202443  0.20253  0.256549  0.257 0.259416
 12  0.0875129  0.119413  0.121426  0.195808  0.206397  0.250123  0.260255 0.263064
 13  0.066599  0.130048  0.134532  0.190184  0.203618  0.245095  0.258477 0.270354
 14  0.0447899  0.139512  0.148945  0.186218  0.196307  0.242023  0.251473 0.279464
 15  0.0225041  0.148189  0.159889  0.184379  0.188194  0.240311  0.243349 0.284569
 16  0  0.152317  0.163985  0.184156  0.184193  0.239594  0.23975 0.28567
