 k index  te band 1  te band 2  te band 3  te band 4  te band 5  te band 6  te band 7 te band 8
 1  0  0.580719  0.619236  0.659841  0.659958  0.779598  0.779897 1.0669
 2  0.0676401  0.562611  0.601886  0.656644  0.676481  0.786862  0.802742 1.05215
 3  0.135085  0.521292  0.570573  0.649113  0.712207  0.805559  0.852038 1.01981
 4  0.202016  0.466145  0.547202  0.641277  0.753579  0.831528  0.908056 0.983004
 5  0.267418  0.405604  0.533494  0.635747  0.794019  0.860459  0.928745 0.94761
 6  0.315668  0.358711  0.528939  0.63378  0.81618  0.879216  0.906821 0.926725
 7  0.318335  0.360284  0.517439  0.644641  0.809958  0.885622  0.896665 0.935614
 8  0.326195  0.364905  0.491219  0.668843  0.795875  0.880639  0.900207 0.947759
 9  0.338865  0.372184  0.459478  0.696865  0.779134  0.865246  0.917609 0.956755
 10  0.355791  0.38056  0.426957  0.723854  0.761879  0.852989  0.935357 0.959937
 11  0.376298  0.376476  0.40821  0.744915  0.745257  0.84768  0.951364 0.952036
 12  0.308717  0.425848  0.43443  0.714291  0.753279  0.873913  0.908864 0.968344
 13  0.233001  0.473593  0.482486  0.688633  0.733529  0.860153  0.930119 0.930755
 14  0.155866  0.516639  0.541688  0.66983  0.70726  0.818015  0.867622 0.992413
 15  0.0780752  0.558141  0.595079  0.659917  0.678099  0.789643  0.808995 1.04622
 16  0  0.580719  0.619236  0.659841  0.659958  0.779598  0.779897 1.0669
