 k index  tm band 1  tm band 2  tm band 3  tm band 4  tm band 5  tm band 6  tm band 7 tm band 8
 1  0  0.577294  0.577303  0.616031  0.616693  0.627871  0.83084 0.981957
 2  0.0635383  0.54395  0.563943  0.613296  0.634141  0.656291  0.84231 0.955667
 3  0.126852  0.49207  0.54467  0.601206  0.666194  0.701147  0.872134 0.914205
 4  0.189624  0.436156  0.529309  0.588496  0.70289  0.746917  0.870654 0.911564
 5  0.251024  0.378532  0.519657  0.57956  0.742389  0.791854  0.827028 0.893391
 6  0.297559  0.333204  0.516374  0.576394  0.781288  0.786755  0.823259 0.862244
 7  0.299402  0.335339  0.500869  0.591676  0.77423  0.782015  0.830282 0.866672
 8  0.304785  0.341651  0.471632  0.620287  0.759761  0.770331  0.844656 0.877382
 9  0.313208  0.351869  0.439663  0.651396  0.743609  0.75543  0.860678 0.890574
 10  0.323341  0.365591  0.408075  0.682318  0.727998  0.739421  0.876148 0.904134
 11  0.329975  0.382236  0.382364  0.702922  0.722975  0.723445  0.88569 0.916911
 12  0.287568  0.392494  0.42264  0.678911  0.692553  0.780184  0.843237 0.933879
 13  0.218422  0.435585  0.468645  0.65435  0.666099  0.78248  0.84162 0.967482
 14  0.146352  0.48573  0.515481  0.635662  0.644329  0.72297  0.883592 0.898109
 15  0.0733539  0.538524  0.556547  0.623819  0.626604  0.665139  0.845924 0.949388
 16  0  0.577294  0.577303  0.616031  0.616693  0.627871  0.83084 0.981957
