 k index  tm band 1  tm band 2  tm band 3  tm band 4  tm band 5  tm band 6  tm band 7 tm band 8
 1  0  0.590478  0.590485  0.649144  0.652351  0.652747  0.903951 1.0048
 2  0.0663559  0.560087  0.580521  0.646191  0.666898  0.678405  0.915008 0.98333
 3  0.13237  0.509183  0.563279  0.633589  0.697052  0.723579  0.944048 0.94415
 4  0.197548  0.453305  0.548537  0.620249  0.733332  0.770672  0.901317 0.968695
 5  0.260548  0.395531  0.53905  0.610769  0.772912  0.81752  0.857841 0.922073
 6  0.304946  0.352822  0.535797  0.607393  0.812103  0.817358  0.851373 0.888189
 7  0.306772  0.355057  0.521467  0.62153  0.80734  0.809424  0.859063 0.892773
 8  0.312075  0.361658  0.49286  0.649646  0.794111  0.79562  0.87364 0.903965
 9  0.320251  0.372332  0.460959  0.681113  0.777281  0.780666  0.889247 0.918023
 10  0.329735  0.386637  0.429538  0.713296  0.760404  0.764606  0.903986 0.932877
 11  0.335491  0.403957  0.404063  0.74108  0.748311  0.748531  0.912836 0.947362
 12  0.297227  0.408547  0.44565  0.712738  0.717925  0.809343  0.870578 0.961312
 13  0.227273  0.45069  0.492333  0.687041  0.691931  0.807615  0.872357 0.994492
 14  0.152658  0.501296  0.538212  0.667602  0.671673  0.747001  0.928461 1.0314
 15  0.0766002  0.554265  0.575111  0.655462  0.657885  0.688519  0.918514 0.977632
 16  0  0.590478  0.590485  0.649144  0.652351  0.652747  0.903951 1.0048
