 k index  te band 1  te band 2  te band 3  te band 4  te band 5  te band 6  te band 7 te band 8
 1  0  0.341911  0.524172  0.524228  0.669016  0.732443  0.761561 0.839726
 2  0.0918595  0.342279  0.524161  0.524288  0.669053  0.730676  0.761502 0.82652
 3  0.182171  0.343849  0.524115  0.524426  0.669016  0.717936  0.761386 0.777328
 4  0.266092  0.350011  0.524116  0.524597  0.66082  0.671288  0.752056 0.761259
 5  0.317209  0.382718  0.524493  0.524756  0.586998  0.669685  0.747719 0.76116
 6  0.325489  0.42302  0.524833  0.528556  0.536496  0.6697  0.746996 0.761111
 7  0.325983  0.433092  0.520714  0.53734  0.538652  0.669756  0.745221 0.761021
 8  0.327186  0.460521  0.518292  0.54098  0.558399  0.669822  0.7391 0.7607
 9  0.328536  0.494243  0.517215  0.554422  0.586081  0.669895  0.726427 0.759294
 10  0.329531  0.512727  0.516754  0.593759  0.617773  0.66997  0.705886 0.733651
 11  0.329893  0.516557  0.516696  0.637583  0.637591  0.670027  0.683161 0.690003
 12  0.328972  0.501304  0.517901  0.555225  0.650636  0.670153  0.693883 0.752632
 13  0.321463  0.407621  0.520555  0.529658  0.66884  0.690919  0.706773 0.760459
 14  0.253312  0.349017  0.522666  0.526081  0.669134  0.720501  0.750706 0.761148
 15  0.129665  0.342744  0.523823  0.524674  0.669096  0.729521  0.76144 0.816763
 16  0  0.341911  0.524172  0.524228  0.669016  0.732443  0.761561 0.839772
