 k index  tm band 1  tm band 2  tm band 3  tm band 4  tm band 5  tm band 6  tm band 7 tm band 8
 1  0  0.320311  0.320313  0.389328  0.459245  0.554695  0.578192 0.633742
 2  0.0414097  0.316403  0.320416  0.397536  0.459404  0.554621  0.577039 0.633773
 3  0.0785929  0.308052  0.320684  0.418272  0.459894  0.554428  0.573162 0.633852
 4  0.107949  0.299546  0.321016  0.444726  0.461257  0.554192  0.56578 0.633948
 5  0.126794  0.293298  0.321284  0.458364  0.474688  0.554001  0.555425 0.634026
 6  0.133312  0.290974  0.321386  0.459185  0.486972  0.548875  0.553928 0.634055
 7  0.134801  0.292767  0.32004  0.459781  0.488113  0.549015  0.559308 0.632564
 8  0.138703  0.297222  0.316538  0.46113  0.49134  0.549066  0.574746 0.628608
 9  0.143549  0.30228  0.312228  0.462443  0.495783  0.549053  0.595657 0.623583
 10  0.147502  0.306034  0.308735  0.463282  0.49973  0.549032  0.612234 0.619367
 11  0.149023  0.307393  0.307395  0.463561  0.501321  0.549023  0.617709 0.617711
 12  0.14561  0.306112  0.308811  0.463039  0.49723  0.54913  0.608067 0.619814
 13  0.132517  0.304419  0.312323  0.461797  0.477751  0.550373  0.58624 0.624681
 14  0.10381  0.306777  0.316299  0.440642  0.460479  0.553046  0.575706 0.629547
 15  0.0575516  0.314549  0.319246  0.404985  0.459563  0.554473  0.576404 0.632697
 16  0  0.320311  0.320313  0.389328  0.459245  0.554695  0.578192 0.633741
