tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.221407, 0.323222, 0.323255, 0.405014, 0.459276, 0.468674, 0.512249
tefreqs:, 2, 0.1, 0, 0, 0.1, 0.0668408, 0.221977, 0.323309, 0.323802, 0.405034, 0.458431, 0.468516, 0.512301
tefreqs:, 3, 0.2, 0, 0, 0.2, 0.129221, 0.224383, 0.323487, 0.325888, 0.405066, 0.455516, 0.468095, 0.51239
tefreqs:, 4, 0.3, 0, 0, 0.3, 0.178103, 0.232374, 0.323706, 0.330966, 0.405077, 0.449356, 0.467582, 0.512494
tefreqs:, 5, 0.4, 0, 0, 0.4, 0.200025, 0.25027, 0.323884, 0.340996, 0.404997, 0.439379, 0.467176, 0.512587
tefreqs:, 6, 0.5, 0, 0, 0.5, 0.204213, 0.259899, 0.323957, 0.348706, 0.404876, 0.432677, 0.467031, 0.512651
tefreqs:, 7, 0.5, 0.1, 0, 0.509902, 0.204365, 0.268462, 0.323585, 0.350541, 0.404989, 0.433696, 0.467291, 0.511748
tefreqs:, 8, 0.5, 0.2, 0, 0.538516, 0.204761, 0.289123, 0.322624, 0.358013, 0.405245, 0.436463, 0.468293, 0.509248
tefreqs:, 9, 0.5, 0.3, 0, 0.583095, 0.205249, 0.308534, 0.321471, 0.376795, 0.405516, 0.440135, 0.471062, 0.505864
tefreqs:, 10, 0.5, 0.4, 0, 0.640312, 0.205645, 0.317861, 0.320562, 0.403576, 0.405711, 0.443363, 0.479007, 0.50284
tefreqs:, 11, 0.5, 0.5, 0, 0.707107, 0.205797, 0.320171, 0.320269, 0.405792, 0.416647, 0.444664, 0.492562, 0.501603
tefreqs:, 12, 0.4, 0.4, 0, 0.565685, 0.205377, 0.315345, 0.320639, 0.389008, 0.405639, 0.44421, 0.475052, 0.503682
tefreqs:, 13, 0.3, 0.3, 0, 0.424264, 0.20202, 0.285549, 0.321523, 0.344037, 0.405379, 0.447775, 0.46957, 0.507652
tefreqs:, 14, 0.2, 0.2, 0, 0.282843, 0.174432, 0.234863, 0.322434, 0.329547, 0.405171, 0.453218, 0.468411, 0.510517
tefreqs:, 15, 0.1, 0.1, 0, 0.141421, 0.0941616, 0.222786, 0.32305, 0.324666, 0.405058, 0.457654, 0.468443, 0.511885
tefreqs:, 16, 0, 0, 0, 0, 0, 0.221407, 0.323222, 0.323255, 0.405014, 0.459276, 0.468674, 0.512249
