tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.679079, 0.694948, 0.694949, 0.762254, 1.08557, 1.13298, 1.17736
tmfreqs:, 2, 0.1, 0, 0, 0.1, 0.0741155, 0.63683, 0.696297, 0.716546, 0.783322, 1.05999, 1.11014, 1.20178
tmfreqs:, 3, 0.2, 0, 0, 0.2, 0.147354, 0.579282, 0.699917, 0.731697, 0.825652, 1.01821, 1.07851, 1.17937
tmfreqs:, 4, 0.3, 0, 0, 0.3, 0.218335, 0.518696, 0.704585, 0.746827, 0.864586, 0.985828, 1.05241, 1.13412
tmfreqs:, 5, 0.4, 0, 0, 0.4, 0.283042, 0.460119, 0.708539, 0.761226, 0.882211, 0.980531, 1.03528, 1.09214
tmfreqs:, 6, 0.5, 0, 0, 0.5, 0.318803, 0.426395, 0.710095, 0.767835, 0.882267, 0.990568, 1.02928, 1.07021
tmfreqs:, 7, 0.5, 0.1, 0, 0.509902, 0.324463, 0.434145, 0.67977, 0.799125, 0.862171, 0.991082, 1.02393, 1.09422
tmfreqs:, 8, 0.5, 0.2, 0, 0.538516, 0.340354, 0.456034, 0.633625, 0.81627, 0.848421, 0.992608, 1.02052, 1.13843
tmfreqs:, 9, 0.5, 0.3, 0, 0.583095, 0.363186, 0.48798, 0.589461, 0.763344, 0.898687, 0.99542, 1.02011, 1.18092
tmfreqs:, 10, 0.5, 0.4, 0, 0.640312, 0.386468, 0.521746, 0.553905, 0.716452, 0.943436, 1.0025, 1.02055, 1.21023
tmfreqs:, 11, 0.5, 0.5, 0, 0.707107, 0.397595, 0.538794, 0.538796, 0.69501, 0.963294, 1.02081, 1.02081, 1.04032
tmfreqs:, 12, 0.4, 0.4, 0, 0.565685, 0.371862, 0.531197, 0.548401, 0.73485, 0.935753, 0.969548, 1.04916, 1.08933
tmfreqs:, 13, 0.3, 0.3, 0, 0.424264, 0.300402, 0.542557, 0.57566, 0.804949, 0.890948, 0.91879, 1.09571, 1.13524
tmfreqs:, 14, 0.2, 0.2, 0, 0.282843, 0.206526, 0.578053, 0.616329, 0.806753, 0.842746, 0.945269, 1.13545, 1.14396
tmfreqs:, 15, 0.1, 0.1, 0, 0.141421, 0.104618, 0.627905, 0.663508, 0.749806, 0.793786, 1.03038, 1.12405, 1.17689
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.679079, 0.694948, 0.694949, 0.762254, 1.08557, 1.13298, 1.17736
