 k index  te band 1  te band 2  te band 3  te band 4  te band 5  te band 6  te band 7 te band 8
 1  0  0.723822  0.782516  0.782517  0.908017  1.09464  1.13431 1.13431
 2  0.0824177  0.698329  0.783914  0.786579  0.931711  1.05938  1.10594 1.17032
 3  0.164231  0.641725  0.788702  0.798571  0.982009  1.01167  1.06709 1.21983
 4  0.244429  0.57423  0.795574  0.817829  0.965975  1.02989  1.0444 1.2668
 5  0.319773  0.505293  0.80187  0.842592  0.925172  1.01135  1.09975 1.30435
 6  0.365402  0.461654  0.804482  0.861207  0.90119  1.00361  1.14687 1.17378
 7  0.376197  0.467201  0.773122  0.8615  0.892378  1.03722  1.15394 1.17331
 8  0.40681  0.483407  0.72453  0.792666  0.940356  1.0813  1.17033 1.18101
 9  0.453065  0.509098  0.675149  0.719644  0.988395  1.10525  1.15954 1.23059
 10  0.510281  0.542632  0.627556  0.647334  1.0321  1.11575  1.13693 1.2774
 11  0.565411  0.578179  0.58737  0.58737  1.05624  1.11891  1.11891 1.23069
 12  0.463731  0.582901  0.599407  0.690794  1.01653  1.10642  1.15248 1.23319
 13  0.348869  0.606918  0.63374  0.798469  0.957805  1.07194  1.17552 1.20637
 14  0.233029  0.644094  0.685399  0.865377  0.935899  1.01602  1.16199 1.16453
 15  0.116643  0.689838  0.74527  0.820039  0.948666  1.02419  1.1413 1.14535
 16  0  0.723822  0.782516  0.782517  0.908017  1.09464  1.13431 1.13431
