 k index  tm band 1  tm band 2  tm band 3  tm band 4  tm band 5  tm band 6  tm band 7 tm band 8
 1  0  0.689699  0.736728  0.736729  0.850351  1.15098  1.18557 1.18557
 2  0.0781275  0.659987  0.738256  0.751874  0.864506  1.11039  1.15445 1.22637
 3  0.155296  0.606026  0.742369  0.771831  0.894771  1.06428  1.11944 1.25742
 4  0.229983  0.545331  0.747708  0.792575  0.916613  1.03814  1.09128 1.22583
 5  0.297772  0.485366  0.75226  0.813588  0.911564  1.04463  1.07282 1.18832
 6  0.334787  0.450891  0.754061  0.82474  0.901996  1.05607  1.06635 1.16998
 7  0.340591  0.459328  0.724697  0.855403  0.882752  1.05653  1.06722 1.18691
 8  0.35679  0.483358  0.677731  0.836765  0.906715  1.05779  1.06903 1.22535
 9  0.37972  0.519275  0.632742  0.780909  0.960708  1.05959  1.07093 1.26461
 10  0.40239  0.559703  0.597314  0.727741  1.01273  1.06255  1.07241 1.13941
 11  0.412796  0.582762  0.582763  0.70038  1.04161  1.07297  1.07297 1.10061
 12  0.388362  0.563771  0.593023  0.74975  1.00941  1.01916  1.10533 1.1517
 13  0.315803  0.566868  0.621976  0.827146  0.964944  0.965405  1.14758 1.19615
 14  0.217566  0.600091  0.66441  0.836276  0.919694  0.986434  1.18027 1.20032
 15  0.110273  0.648802  0.710832  0.781474  0.875008  1.07484  1.18819 1.19091
 16  0  0.689699  0.736728  0.736729  0.850351  1.15098  1.18557 1.18557
