tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.684983, 0.715215, 0.715215, 0.806459, 1.11812, 1.17076, 1.18228
tmfreqs:, 2, 0.1, 0, 0, 0.1, 0.0761441, 0.649389, 0.716642, 0.734175, 0.823134, 1.08651, 1.13614, 1.21345
tmfreqs:, 3, 0.2, 0, 0, 0.2, 0.151365, 0.593289, 0.720476, 0.752952, 0.858753, 1.04202, 1.10146, 1.22274
tmfreqs:, 4, 0.3, 0, 0, 0.3, 0.224204, 0.532496, 0.725433, 0.771332, 0.889498, 1.0117, 1.07392, 1.18157
tmfreqs:, 5, 0.4, 0, 0, 0.4, 0.290421, 0.473193, 0.729644, 0.789151, 0.895825, 1.01154, 1.05598, 1.14204
tmfreqs:, 6, 0.5, 0, 0, 0.5, 0.326728, 0.439157, 0.731304, 0.797854, 0.891124, 1.02165, 1.04972, 1.12259
tmfreqs:, 7, 0.5, 0.1, 0, 0.509902, 0.332456, 0.447262, 0.702003, 0.828304, 0.871751, 1.02214, 1.04865, 1.14149
tmfreqs:, 8, 0.5, 0.2, 0, 0.538516, 0.348488, 0.470254, 0.655656, 0.826195, 0.878441, 1.02356, 1.04817, 1.1818
tmfreqs:, 9, 0.5, 0.3, 0, 0.583095, 0.371337, 0.504223, 0.611166, 0.772011, 0.930505, 1.02601, 1.0489, 1.22216
tmfreqs:, 10, 0.5, 0.4, 0, 0.640312, 0.394241, 0.541253, 0.575762, 0.722164, 0.978288, 1.03194, 1.04984, 1.24883
tmfreqs:, 11, 0.5, 0.5, 0, 0.707107, 0.40494, 0.561003, 0.561003, 0.6981, 1.00039, 1.05025, 1.05025, 1.06992
tmfreqs:, 12, 0.4, 0.4, 0, 0.565685, 0.379999, 0.547967, 0.570933, 0.742222, 0.971979, 0.995984, 1.07932, 1.12164
tmfreqs:, 13, 0.3, 0.3, 0, 0.424264, 0.308121, 0.555079, 0.599025, 0.815512, 0.927738, 0.943547, 1.12418, 1.16608
tmfreqs:, 14, 0.2, 0.2, 0, 0.282843, 0.212093, 0.589422, 0.640546, 0.820987, 0.88072, 0.967334, 1.1657, 1.16804
tmfreqs:, 15, 0.1, 0.1, 0, 0.141421, 0.107476, 0.63892, 0.687219, 0.765039, 0.833921, 1.05406, 1.15816, 1.18349
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.684983, 0.715215, 0.715215, 0.806459, 1.11812, 1.17076, 1.18228
