 k index  band 1  band 2  band 3  band 4  band 5  band 6  band 7 band 8
 1  0  0  0.188351  0.256464  0.257014  0.337254  0.337777 0.346066
 2  0.0311299  0.0424016  0.186017  0.256139  0.258476  0.329404  0.337658 0.35458
 3  0.0610649  0.082439  0.17953  0.255016  0.262316  0.319033  0.338348 0.365985
 4  0.0885582  0.117037  0.169785  0.253633  0.266612  0.310433  0.33918 0.376899
 5  0.111938  0.1417  0.157695  0.252531  0.269697  0.304853  0.339836 0.386256
 6  0.124579  0.14896  0.150907  0.252114  0.270762  0.302958  0.340082 0.364694
 7  0.125288  0.148903  0.15188  0.250522  0.272515  0.302324  0.340176 0.364929
 8  0.127374  0.148562  0.15451  0.247131  0.276486  0.3005  0.340414 0.365623
 9  0.130717  0.147463  0.157992  0.243755  0.281125  0.297687  0.340697 0.366716
 10  0.135139  0.14496  0.161134  0.241414  0.285754  0.29413  0.340926 0.368119
 11  0.140405  0.140474  0.162557  0.240613  0.29003  0.290164  0.341032 0.369718
 12  0.124445  0.152677  0.154841  0.243322  0.281373  0.298068  0.340616 0.370057
 13  0.10015  0.130962  0.165472  0.24887  0.272568  0.306189  0.3397 0.375657
 14  0.0698953  0.0938207  0.176987  0.253462  0.264777  0.316005  0.338565 0.377406
 15  0.0358693  0.0486944  0.185268  0.25582  0.25914  0.327821  0.337622 0.378267
 16  0  0  0.188351  0.256464  0.257014  0.337254  0.337778 0.37851
