freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.19856, 0.287267, 0.28806, 0.362621, 0.363374, 0.376394
freqs:, 2, 0, 0.1, 0, 0.11547, 0.0340846, 0.0487328, 0.196494, 0.286932, 0.28911, 0.355698, 0.363072, 0.384382
freqs:, 3, 0, 0.2, 0, 0.23094, 0.0667595, 0.094889, 0.190573, 0.285722, 0.291955, 0.345361, 0.363711, 0.396501
freqs:, 4, 0, 0.3, 0, 0.34641, 0.0965714, 0.135042, 0.181305, 0.284217, 0.294901, 0.337072, 0.36448, 0.408394
freqs:, 5, 0, 0.4, 0, 0.46188, 0.121646, 0.163965, 0.16938, 0.283015, 0.296587, 0.332167, 0.365083, 0.418595
freqs:, 6, 0, 0.5, 0, 0.57735, 0.13501, 0.160574, 0.174888, 0.28256, 0.297004, 0.330661, 0.365308, 0.42345
freqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.135758, 0.160501, 0.176024, 0.280568, 0.299172, 0.330016, 0.3654, 0.424037
freqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.137957, 0.160112, 0.179117, 0.276694, 0.303661, 0.328166, 0.365632, 0.425756
freqs:, 9, -0.2, 0.4, 0, 0.61101, 0.141473, 0.158933, 0.183241, 0.273056, 0.308594, 0.325326, 0.365909, 0.406782
freqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.146104, 0.156314, 0.187008, 0.270594, 0.313343, 0.321762, 0.366135, 0.408763
freqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.15159, 0.151655, 0.188781, 0.269761, 0.317691, 0.317739, 0.366246, 0.410928
freqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.134904, 0.164207, 0.179261, 0.272633, 0.309251, 0.325431, 0.365818, 0.41075
freqs:, 13, -0.2, 0.2, 0, 0.4, 0.109047, 0.151038, 0.177048, 0.278733, 0.301102, 0.332973, 0.364941, 0.419524
freqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.0763619, 0.107849, 0.188184, 0.283908, 0.294288, 0.342411, 0.363866, 0.400299
freqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0392672, 0.0558631, 0.195823, 0.286556, 0.289696, 0.354199, 0.362971, 0.38623
freqs:, 16, 0, 0, 0, 0, 0, 0, 0.19856, 0.287267, 0.288061, 0.362622, 0.363374, 0.376394
