tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.692941, 0.788247, 0.788395, 0.80586, 0.806057, 0.822813, 1.16979
tefreqs:, 2, 0, 0.1, 0, 0.11547, 0.0775598, 0.679873, 0.742205, 0.760632, 0.808363, 0.838973, 0.882935, 1.12946
tefreqs:, 3, 0, 0.2, 0, 0.23094, 0.154428, 0.634181, 0.702166, 0.732039, 0.833301, 0.883454, 0.952889, 1.08789
tefreqs:, 4, 0, 0.3, 0, 0.34641, 0.229239, 0.56799, 0.683579, 0.710551, 0.865842, 0.931193, 1.00692, 1.06149
tefreqs:, 5, 0, 0.4, 0, 0.46188, 0.297273, 0.502795, 0.67379, 0.697251, 0.901419, 0.980496, 0.989142, 1.07781
tefreqs:, 6, 0, 0.5, 0, 0.57735, 0.333734, 0.467084, 0.67059, 0.692746, 0.926853, 0.963808, 1.02408, 1.03668
tefreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.336465, 0.468838, 0.641091, 0.721902, 0.921965, 0.95737, 1.0312, 1.04079
tefreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.344244, 0.474051, 0.603105, 0.759004, 0.909379, 0.943337, 1.04733, 1.0509
tefreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.355694, 0.482591, 0.566, 0.795247, 0.89265, 0.927516, 1.06313, 1.06692
tefreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.367795, 0.494252, 0.53262, 0.82907, 0.874251, 0.912974, 1.07469, 1.08785
tefreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.374077, 0.508726, 0.50888, 0.855573, 0.855603, 0.905121, 1.08172, 1.10903
tefreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.338896, 0.51766, 0.545167, 0.8205, 0.852788, 0.944146, 1.03515, 1.11181
tefreqs:, 13, -0.2, 0.2, 0, 0.4, 0.263393, 0.575122, 0.588692, 0.791428, 0.830855, 0.971555, 0.996037, 1.07329
tefreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.177962, 0.635406, 0.647586, 0.771891, 0.813231, 0.90875, 0.971188, 1.07422
tefreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0895025, 0.676374, 0.7257, 0.768856, 0.802358, 0.849337, 0.893218, 1.12282
tefreqs:, 16, 0, 0, 0, 0, 0, 0.692941, 0.788247, 0.788395, 0.80586, 0.806057, 0.822813, 1.16979
