tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.581337, 0.630786, 0.631168, 0.820538, 0.820938, 0.907788, 1.09545
tmfreqs:, 2, 0, 0.1, 0, 0.11547, 0.0714664, 0.557734, 0.627213, 0.650063, 0.80082, 0.82849, 0.935948, 1.06422
tmfreqs:, 3, 0, 0.2, 0, 0.23094, 0.142285, 0.516029, 0.618445, 0.671645, 0.779701, 0.849044, 0.987989, 1.01638
tmfreqs:, 4, 0, 0.3, 0, 0.34641, 0.211573, 0.467612, 0.608867, 0.672227, 0.789042, 0.87747, 0.967397, 1.0429
tmfreqs:, 5, 0, 0.4, 0, 0.46188, 0.277331, 0.4145, 0.601872, 0.66236, 0.82105, 0.907551, 0.920563, 1.01633
tmfreqs:, 6, 0, 0.5, 0, 0.57735, 0.32159, 0.374449, 0.599344, 0.657772, 0.8481, 0.889718, 0.924325, 0.998357
tmfreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.323665, 0.375777, 0.584221, 0.673342, 0.844024, 0.885498, 0.927629, 1.00191
tmfreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.3298, 0.379152, 0.557067, 0.702262, 0.833552, 0.874633, 0.935694, 1.01089
tmfreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.339743, 0.382426, 0.5306, 0.733348, 0.819535, 0.860563, 0.945297, 1.02232
tmfreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.353121, 0.381127, 0.510958, 0.763409, 0.803806, 0.846717, 0.953592, 1.03422
tmfreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.369447, 0.369601, 0.503835, 0.787295, 0.78735, 0.839126, 0.957253, 1.04516
tmfreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.315548, 0.409403, 0.52501, 0.754019, 0.785123, 0.877332, 0.938916, 1.04159
tmfreqs:, 13, -0.2, 0.2, 0, 0.4, 0.242844, 0.45557, 0.56577, 0.721391, 0.769729, 0.899113, 0.937971, 1.06123
tmfreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.163942, 0.504585, 0.603594, 0.688882, 0.771009, 0.859636, 0.998507, 1.00529
tmfreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0824823, 0.552057, 0.625058, 0.65512, 0.796039, 0.831262, 0.94328, 1.05693
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.581337, 0.630786, 0.631168, 0.820538, 0.820938, 0.907788, 1.09545
