tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8
tefreqs:, 1, 0, 0, 0, 0, 0, 0.596963, 0.658432, 0.658454, 0.676908, 0.761507, 0.761512, 1.0613
tefreqs:, 2, 0, 0.1, 0, 0.11547, 0.0681934, 0.580422, 0.643808, 0.652385, 0.677457, 0.77183, 0.796675, 1.02004
tefreqs:, 3, 0, 0.2, 0, 0.23094, 0.135938, 0.541222, 0.604692, 0.639704, 0.709061, 0.797274, 0.857028, 0.972785
tefreqs:, 4, 0, 0.3, 0, 0.34641, 0.202352, 0.486747, 0.580291, 0.627524, 0.746874, 0.830589, 0.915971, 0.931059
tefreqs:, 5, 0, 0.4, 0, 0.46188, 0.264241, 0.429188, 0.56748, 0.61929, 0.787916, 0.868028, 0.877633, 0.948239
tefreqs:, 6, 0, 0.5, 0, 0.57735, 0.300023, 0.394535, 0.563395, 0.616416, 0.825816, 0.838092, 0.905657, 0.909811
tefreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.302611, 0.396025, 0.545863, 0.633718, 0.82017, 0.833581, 0.911789, 0.913339
tefreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.310059, 0.400457, 0.514889, 0.664109, 0.806895, 0.822273, 0.921747, 0.926492
tefreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.321296, 0.407716, 0.482289, 0.696153, 0.791026, 0.807576, 0.931756, 0.944724
tefreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.333781, 0.417622, 0.451795, 0.726747, 0.776225, 0.791546, 0.941228, 0.963752
tefreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.340755, 0.429934, 0.429973, 0.743764, 0.775159, 0.775275, 0.946657, 0.982168
tefreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.303329, 0.445102, 0.460787, 0.721356, 0.743899, 0.831503, 0.911783, 0.982635
tefreqs:, 13, -0.2, 0.2, 0, 0.4, 0.233002, 0.497771, 0.50002, 0.696794, 0.716156, 0.859759, 0.893176, 1.00443
tefreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.156769, 0.537971, 0.564438, 0.678321, 0.692351, 0.811934, 0.875691, 0.954739
tefreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0787141, 0.576353, 0.629397, 0.667708, 0.671278, 0.775638, 0.805138, 1.01231
tefreqs:, 16, 0, 0, 0, 0, 0, 0.596963, 0.658432, 0.658454, 0.676908, 0.761507, 0.761512, 1.0613
