tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.560673, 0.578892, 0.57896, 0.676592, 0.676748, 0.843331, 1.04442
tmfreqs:, 2, 0, 0.1, 0, 0.11547, 0.0640795, 0.527089, 0.572522, 0.603873, 0.674097, 0.68725, 0.858106, 1.00201
tmfreqs:, 3, 0, 0.2, 0, 0.23094, 0.127784, 0.481309, 0.559333, 0.611456, 0.687276, 0.712887, 0.892259, 0.957554
tmfreqs:, 4, 0, 0.3, 0, 0.34641, 0.190596, 0.430959, 0.546781, 0.599615, 0.722317, 0.746065, 0.902195, 0.913737
tmfreqs:, 5, 0, 0.4, 0, 0.46188, 0.251259, 0.37753, 0.538326, 0.588577, 0.763714, 0.782585, 0.860729, 0.871619
tmfreqs:, 6, 0, 0.5, 0, 0.57735, 0.294764, 0.336375, 0.535377, 0.584516, 0.795846, 0.810152, 0.827594, 0.842292
tmfreqs:, 7, -0.0666667, 0.466667, 0, 0.581187, 0.296701, 0.337928, 0.51903, 0.601139, 0.783715, 0.815749, 0.822196, 0.853497
tmfreqs:, 8, -0.133333, 0.433333, 0, 0.592546, 0.302431, 0.342149, 0.490918, 0.63037, 0.766583, 0.798577, 0.839051, 0.868886
tmfreqs:, 9, -0.2, 0.4, 0, 0.61101, 0.311735, 0.347347, 0.463027, 0.661415, 0.749309, 0.781391, 0.855761, 0.883619
tmfreqs:, 10, -0.266667, 0.366667, 0, 0.635959, 0.324286, 0.349116, 0.441047, 0.691729, 0.732389, 0.76577, 0.871296, 0.897362
tmfreqs:, 11, -0.333333, 0.333333, 0, 0.666667, 0.339688, 0.339724, 0.432653, 0.716045, 0.716081, 0.756943, 0.88082, 0.910163
tmfreqs:, 12, -0.266667, 0.266667, 0, 0.533333, 0.287183, 0.377516, 0.455106, 0.685788, 0.707875, 0.799403, 0.839343, 0.926172
tmfreqs:, 13, -0.2, 0.2, 0, 0.4, 0.219221, 0.422094, 0.496486, 0.659197, 0.685977, 0.783869, 0.861399, 0.956416
tmfreqs:, 14, -0.133333, 0.133333, 0, 0.266667, 0.147347, 0.47079, 0.538637, 0.63546, 0.672657, 0.73184, 0.902073, 0.931634
tmfreqs:, 15, -0.0666667, 0.0666667, 0, 0.133333, 0.0739696, 0.52078, 0.568905, 0.609275, 0.672184, 0.691757, 0.862578, 0.989907
tmfreqs:, 16, 0, 0, 0, 0, 0, 0.560673, 0.578892, 0.57896, 0.676592, 0.676748, 0.843331, 1.04467
